"filename", "language", "TypeScript", "JSON", "HTML", "JSON with Comments", "CSS", "TypeScript JSX", "Markdown", "XML", "JavaScript", "Batch", "Properties", "Groovy", "Java", "Ignore", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\Vitalii\Projects\pc-hub\frontend\android\variables.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\Vitalii\Projects\pc-hub\frontend\capacitor.config.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Vitalii\Projects\pc-hub\frontend\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\Vitalii\Projects\pc-hub\frontend\index.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Vitalii\Projects\pc-hub\frontend\package-lock.json", "JSON", 0, 4934, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4935
"c:\Users\Vitalii\Projects\pc-hub\frontend\package.json", "JSON", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\Vitalii\Projects\pc-hub\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Vitalii\Projects\pc-hub\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Vitalii\Projects\pc-hub\frontend\src\assets\icons\AdvantageAssembly.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 94
"c:\Users\Vitalii\Projects\pc-hub\frontend\src\assets\icons\AdvantageConsultation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 135
"c:\Users\Vitalii\Projects\pc-hub\frontend\src\assets\icons\AdvantageDelivery.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 160
"c:\Users\Vitalii\Projects\pc-hub\frontend\src\assets\icons\AdvantageExperience.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 65
"c:\Users\Vitalii\Projects\pc-hub\frontend\src\assets\icons\AdvantageInstallment.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 79
"c:\Users\Vitalii\Projects\pc-hub\frontend\src\assets\icons\AdvantagePrice.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 90
"c:\Users\Vitalii\Projects\pc-hub\frontend\src\assets\icons\AdvantageWarranty.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 149
"c:\Users\Vitalii\Projects\pc-hub\frontend\src\assets\icons\ArrowBold.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Vitalii\Projects\pc-hub\frontend\src\assets\icons\ArrowCommon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Vitalii\Projects\pc-hub\frontend\src\assets\icons\ArrowThin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Vitalii\Projects\pc-hub\frontend\src\assets\icons\CartIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"c:\Users\Vitalii\Projects\pc-hub\frontend\src\assets\icons\CatalogIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 68
"c:\Users\Vitalii\Projects\pc-hub\frontend\src\assets\icons\CheckMarkAvailability.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\Vitalii\Projects\pc-hub\frontend\src\assets\icons\CommentIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54
